case_id,reference_prescription,symptom_text_zh,selected_symptoms,source_symptom_pool,source_column,disease_column_used,random_seed
S011,升阳益胃汤,热毒引起的症状、痰湿、失眠不安、肝气不舒、发热,热毒引起的症状 | 痰湿 | 失眠不安 | 肝气不舒 | 发热,自汗 | 多汗 | 水肿 | 呕吐 | 胸腹胀 | 痞块 | 元气不足 | 脉弱 | 气虚咳嗽 | 心神不定 | 脾胃虚弱 | 热毒引起的症状 | 咳嗽多痰 | 肌肉抽搐 | 风寒感冒 | 风湿痹痛 | 痉挛 | 肝气不舒 | 痛经 | 寒冷引起的疼痛 | 肢体麻木 | 胃部不适 | 恶心呕吐 | 气滞引起的不适 | 痰湿 | 失眠不安 | 心悸不安 | 湿热 | 小便不利 | 发热 | 肝气郁结 | 阳虚引起的症状 | 习惯性流产 | 血液循环不畅,Symptom,No,20260721
S012,完带汤,黏膜损伤、湿热、多汗、疼痛、水肿,黏膜损伤 | 湿热 | 多汗 | 疼痛 | 水肿,脾胃虚弱 | 水肿 | 多汗 | 先兆流产 | 肺燥引起的症状 | 肾虚引起的症状 | 气虚 | 心悸不安 | 失眠不安 | 肝阳上亢引起的头痛 | 月经失调 | 血热引起的症状 | 湿热 | 湿气重引起的症状 | 风寒引起的不适 | 视力模糊 | 咳嗽多痰 | 肌肉抽搐 | 疼痛 | 呕吐 | 气机不畅引起的不适 | 湿痰引起的症状 | 溃疡出血 | 感染炎症 | 黏膜损伤 | 发热 | 肝郁气滞 | 阳虚引起的症状,Symptom,No,20260722
S013,身痛逐瘀汤,肿胀、血虚引起的痛经、经闭、筋骨无力、血瘀引起的症状,肿胀 | 血虚引起的痛经 | 经闭 | 筋骨无力 | 血瘀引起的症状,风湿痹痛 | 血瘀引起的关节疼痛 | 血瘀引起的症状 | 脾胃虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛 | 寒湿引起的痛症 | 风寒引起的关节疼痛 | 肿胀 | 组织损伤 | 血虚引起的痛经 | 便秘 | 食积 | 出血 | 痛症 | 肝气郁结 | 先兆流产 | 月经失调 | 肝肾亏虚 | 筋骨无力 | 痛经 | 经闭 | 癫痫抽搐 | 热症引起的症状 | 风热引起的咳嗽 | 水肿 | 经络不畅,Symptom,No,20260723
S014,辛夷散,月经失调、鼻塞、脾肺虚弱、肝功能异常,月经失调 | 鼻塞 | 脾肺虚弱 | 肝功能异常,鼻塞 | 流涕 | 头痛 | 风寒感冒 | 咳嗽 | 痰多引起的症状 | 气喘 | 风寒引起的不适 | 关节疼痛 | 肌肉疼痛 | 疼痛 | 发热 | 肝功能异常 | 炎症 | 病毒感染 | 血瘀引起的症状 | 高血压引起的头痛 | 月经失调 | 痛经 | 湿热引起的症状 | 湿邪引起的症状 | 脾肺虚弱 | 咳嗽多痰 | 肌肉抽搐 | 肿胀,Symptom,No,20260724
S015,实脾散,湿邪引起的症状、经络不畅、湿热引起的症状、痰湿引起的症状、神经系统功能失调,湿邪引起的症状 | 经络不畅 | 湿热引起的症状 | 痰湿引起的症状 | 神经系统功能失调,痰湿引起的症状 | 胸闷不适 | 胃胀 | 脾胃虚弱 | 湿热引起的症状 | 多汗 | 先兆流产 | 肝郁气滞 | 湿邪引起的症状 | 气滞引起的不适 | 疟疾 | 腹胀 | 水肿 | 寒湿引起的疼痛 | 阳虚引起的症状 | 脾胃虚寒 | 心悸不安 | 神经系统功能失调 | 中焦寒湿 | 经络不畅 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛,Symptom,No,20260725
S016,甘露饮,高血脂、热毒引起的症状、发热,高血脂 | 热毒引起的症状 | 发热,咳嗽 | 哮喘 | 糖尿病 | 炎症 | 肾虚引起的症状 | 气血不足 | 阴虚引起的干燥 | 肺燥引起的症状 | 心火旺盛 | 中焦胀满 | 消化不良 | 发热 | 高血压 | 高血脂 | 血液循环不畅 | 肿瘤 | 胃虚引起的不适 | 肺热引起的症状 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 疼痛 | 热毒引起的症状 | 出血 | 先兆流产,Symptom,No,20260726
S017,三痹汤,寒湿引起的疼痛、筋骨疼痛、肾虚引起的症状、脾胃虚弱,寒湿引起的疼痛 | 筋骨疼痛 | 肾虚引起的症状 | 脾胃虚弱,肝肾不足引起的症状 | 筋骨疼痛 | 月经失调 | 出血 | 先兆流产 | 感冒 | 风湿引起的痛症 | 寒湿引起的疼痛 | 疼痛 | 风寒引起的不适 | 痹症 | 元气不足 | 脉弱 | 脾肺虚弱 | 水肿 | 心悸不安 | 脾胃虚弱 | 血虚 | 痛经 | 便秘 | 肝郁气滞 | 多汗 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 风湿痹症 | 肾虚引起的症状 | 气血不足 | 血瘀引起的症状 | 风寒 | 关节疼痛 | 毒疮,Symptom,No,20260727
S018,大秦艽汤,脾气虚弱、风湿痛、肌肉疼痛,脾气虚弱 | 风湿痛 | 肌肉疼痛,风湿引起的痛症 | 关节疼痛 | 风湿痹症 | 筋骨疼痛 | 水肿 | 肾阳虚引起的症状 | 肌肉疼痛 | 阳虚引起的症状 | 寒湿引起的疼痛 | 脾胃虚弱 | 血瘀引起的症状 | 气滞引起的不适 | 风寒 | 血虚 | 痛经 | 便秘 | 咳嗽 | 痰湿引起的症状 | 风寒湿引起的疼痛 | 湿气重引起的症状 | 痉挛 | 热毒引起的症状 | 湿热引起的症状 | 出血 | 先兆流产 | 炎症 | 肿胀 | 口干舌燥 | 风湿痛 | 局部肿胀 | 脾气虚弱 | 多汗 | 肾虚引起的症状 | 气血不足 | 心悸不安,Symptom,No,20260728
S019,托里消毒散,湿热引起的症状、脾气虚弱、便秘、咳嗽多痰,湿热引起的症状 | 脾气虚弱 | 便秘 | 咳嗽多痰,元气不足 | 心悸不安 | 失眠不安 | 脾胃虚弱 | 血瘀引起的症状 | 气滞 | 风寒 | 肝郁气滞 | 月经失调 | 多汗 | 血虚 | 痛经 | 便秘 | 疮毒 | 水肿 | 脾气虚弱 | 湿气重引起的症状 | 先兆流产 | 热毒引起的症状 | 风热引起的症状 | 局部肿胀 | 湿热引起的症状 | 咳嗽多痰 | 肌肉抽搐 | 消化不良 | 痈肿 | 蛆虫感染 | 咽喉疼痛 | 痰多引起的症状 | 肺部感染,Symptom,No,20260729
S020,清上蠲痛汤,先兆流产、风寒、风寒湿引起的疼痛、湿热引起的症状、痛经,先兆流产 | 风寒 | 风寒湿引起的疼痛 | 湿热引起的症状 | 痛经,血虚 | 痛经 | 便秘 | 血瘀引起的症状 | 气滞引起的不适 | 风寒 | 局部肿胀 | 痰湿引起的症状 | 风寒湿引起的疼痛 | 风湿引起的痛症 | 痉挛 | 热毒引起的症状 | 风热感冒 | 头痛 | 眼睛不适 | 脾虚 | 眼睛湿润 | 湿热引起的症状 | 出血 | 先兆流产 | 阴虚 | 干咳 | 心悸不安 | 脾气虚弱 | 咳嗽多痰 | 肌肉抽搐 | 消化不良,Symptom,No,20260730
S021,养胃汤,眼睛湿润、脾虚、心悸不安,眼睛湿润 | 脾虚 | 心悸不安,脾气虚弱 | 湿热引起的症状 | 咳嗽多痰 | 肌肉抽搐 | 消化不良 | 痰湿引起的胸闷不适 | 气胀 | 脾虚 | 眼睛湿润 | 呕吐 | 痰多引起的症状 | 腹胀 | 痰湿引起的症状 | 暑湿引起的不适 | 食欲不振 | 疟疾 | 水肿 | 脾胃虚弱 | 心悸不安 | 元气不足 | 失眠不安,Symptom,No,20260731
S022,三甲复脉汤,肾阴虚、出血、干咳、阴虚,肾阴虚 | 出血 | 干咳 | 阴虚,胃部不适 | 胃溃疡 | 免疫力低下 | 脾气虚弱 | 湿热引起的症状 | 咳嗽多痰 | 肌肉抽搐 | 消化不良 | 身体虚弱 | 精气不足 | 贫血 | 肝郁气滞 | 月经失调 | 多汗 | 阴虚 | 干咳 | 心悸不安 | 出血 | 干燥引起的不适 | 血虚 | 血瘀引起的症状 | 便秘 | 小便不利 | 痰多引起的症状 | 咽喉疼痛 | 肾阴虚 | 骨痛 | 心血不足引起的症状,Symptom,No,20260732
S023,蠲痹汤,肾阳虚引起的症状、经期不调、风寒、血虚,肾阳虚引起的症状 | 经期不调 | 风寒 | 血虚,寒冷引起的疼痛 | 风寒 | 风湿引起的关节疼痛 | 经络不畅 | 肾阳虚引起的症状 | 血瘀引起的症状 | 小便不利 | 血虚 | 经期不调 | 便秘 | 脾气虚弱 | 肌肉抽搐 | 气滞引起的不适 | 疼痛 | 肿胀 | 血液循环不畅 | 气机不畅引起的不适 | 消化不良,Symptom,No,20260733
S024,清肝止淋汤,月经失调、血虚、热毒引起的症状、血热引起的出血,月经失调 | 血虚 | 热毒引起的症状 | 血热引起的出血,肝气郁结 | 月经失调 | 多汗 | 血虚 | 便秘 | 肾精不足 | 阴虚 | 血热引起的出血 | 干燥引起的不适 | 热毒引起的症状 | 血瘀引起的症状 | 湿热引起的症状 | 疮疡肿痛 | 发热 | 肝肾不足引起的症状 | 筋骨无力 | 腹痛 | 流产 | 脾胃虚弱,Symptom,No,20260734
S025,除湿胃苓汤,湿气引起的皮疹、寒证引起的疼痛、暑热不适、水肿、湿气引起的脾胃虚弱,湿气引起的皮疹 | 寒证引起的疼痛 | 暑热不适 | 水肿 | 湿气引起的脾胃虚弱,湿气引起的脾胃虚弱 | 风寒引起的不适 | 视力模糊 | 腹胀 | 胃气失调引起的呕吐 | 气机不畅引起的不适 | 湿痰引起的症状 | 水肿 | 热毒引起的症状 | 脾气虚弱 | 湿气引起的多尿 | 多汗 | 暑热不适 | 湿气引起的皮疹 | 疮疡肿痛 | 外感风寒 | 湿气引起的肌痉挛 | 火热引起的烦躁 | 血瘀引起的症状 | 湿热引起的症状 | 肾阳虚引起的症状 | 寒证引起的疼痛 | 热毒引起的咳嗽 | 肌肉痉挛,Symptom,No,20260735
S026,清燥救肺汤,炎症引起的肿胀、高血糖、休克、口干舌燥、心火旺盛,炎症引起的肿胀 | 高血糖 | 休克 | 口干舌燥 | 心火旺盛,咳嗽 | 哮喘 | 高血糖 | 炎症 | 视力模糊 | 风热引起的症状 | 肺热引起的症状 | 火毒引起的症状 | 炎症引起的肿胀 | 口干舌燥 | 脾气虚弱 | 热毒引起的咳嗽 | 痉挛性疼痛 | 脉弱 | 休克 | 疲劳无力 | 便秘 | 血虚 | 风邪引起的症状 | 出血 | 干燥引起的不适 | 阴虚 | 肺气虚弱 | 肺燥引起的咳嗽 | 心火旺盛,Symptom,No,20260736
S027,凉血地黄汤,脓肿、中焦胀满、肾精不足,脓肿 | 中焦胀满 | 肾精不足,烦躁 | 失眠不安 | 疼痛 | 发热 | 肝脏受损 | 免疫力低下 | 炎症 | 病毒感染 | 月经失调 | 血瘀引起的症状 | 便秘 | 肾精不足 | 血虚 | 阴虚 | 火毒引起的症状 | 湿热引起的症状 | 气机不畅引起的不适 | 中焦胀满 | 出血 | 流产 | 肿胀 | 伤口愈合缓慢 | 风寒引起的不适 | 瘙痒 | 脓肿 | 脾气虚弱 | 热毒引起的咳嗽 | 痉挛性疼痛,Symptom,No,20260737
S028,柴胡桂枝汤,失眠不安、气血不调、热毒引起的咳嗽,失眠不安 | 气血不调 | 热毒引起的咳嗽,风寒引起的不适 | 经络不畅 | 阳气不足 | 热毒引起的症状 | 湿热引起的症状 | 出血 | 流产 | 元气不足 | 脉弱 | 脾肺虚弱 | 口干舌燥 | 失眠不安 | 脾气虚弱 | 热毒引起的咳嗽 | 痉挛性疼痛 | 逆气引起的呕吐 | 湿痰积聚 | 积块瘀滞 | 疼痛 | 经血不调 | 多汗 | 脾胃虚弱 | 气血不调 | 痰多引起的咳嗽 | 发热 | 肝郁气滞,Symptom,No,20260738
S029,射干麻黄汤,咳嗽、水肿、心悸不安,咳嗽 | 水肿 | 心悸不安,热毒引起的症状 | 痰多引起的症状 | 咽喉疼痛 | 风寒引起的发热 | 咳嗽 | 水肿 | 痰湿引起的症状 | 呕吐 | 恶寒 | 风寒引起的头痛 | 关节疼痛 | 干咳无痰 | 多汗 | 心悸不安 | 气虚 | 脾胃虚弱 | 气血不足 | 疼痛 | 肿块,Symptom,No,20260739
S030,温脾丸,乳汁过多、热毒引起的便秘、阳气不足,乳汁过多 | 热毒引起的便秘 | 阳气不足,热毒引起的症状 | 湿气重引起的症状 | 骨蒸发热 | 痈肿疼痛 | 消化不良 | 乳汁过多 | 寒证引起的疼痛 | 呕吐 | 腹泻 | 阳虚引起的症状 | 经络不畅 | 脾胃虚寒 | 肺寒引起的咳嗽 | 阳气不足 | 寒湿引起的郁痛 | 肾阳虚引起的症状 | 寒湿引起的疼痛 | 血虚 | 痛经 | 便秘 | 热毒引起的便秘 | 月经失调 | 湿热引起的症状,Symptom,No,20260740
S031,延年薯蓣酒,湿邪引起的症状、湿气重引起的症状、肺燥引起的咳嗽,湿邪引起的症状 | 湿气重引起的症状 | 肺燥引起的咳嗽,脾胃虚弱 | 肺燥引起的咳嗽 | 肾虚引起的症状 | 脾虚引起的消化不良 | 湿气重引起的症状 | 多汗 | 尿频尿急 | 心悸不安 | 瘀血引起的疼痛 | 月经失调 | 烦躁 | 外感风寒 | 湿邪引起的症状 | 肝肾不足引起的症状 | 遗精 | 元气不足 | 脉弱 | 肺燥引起的症状 | 痰湿引起的症状 | 呕吐,Symptom,No,20260741
S032,六和汤,气喘、脉弱、积块瘀滞、痰湿引起的症状,气喘 | 脉弱 | 积块瘀滞 | 痰湿引起的症状,湿热引起的症状 | 胸腹胀 | 消化不良 | 湿气引起的食欲不振 | 脾胃虚寒 | 呕吐 | 痰湿引起的症状 | 积块瘀滞 | 咳嗽 | 气喘 | 便秘 | 元气不足 | 脉弱 | 肺燥引起的症状 | 心悸不安 | 脾虚引起的消化不良 | 热毒引起的症状 | 痉挛性疼痛 | 尿量少 | 水肿 | 脾胃虚弱 | 湿浊引起的不适 | 胃寒引起的呕吐 | 肝气不舒 | 脾胃功能失调,Symptom,No,20260742
S033,芍药汤,疟疾、肝气郁结、湿热引起的症状、痉挛性疼痛,疟疾 | 肝气郁结 | 湿热引起的症状 | 痉挛性疼痛,肝气郁结 | 月经失调 | 多汗 | 血虚 | 经络不畅 | 疼痛 | 便秘 | 湿热引起的症状 | 炎症 | 肿胀 | 消化不良 | 腹胀 | 疟疾 | 气滞引起的不适 | 脾虚引起的消化不良 | 热毒引起的症状 | 痰湿引起的症状 | 痉挛性疼痛 | 热毒引起的便秘 | 血热引起的症状 | 出血 | 习惯性流产 | 寒湿引起的疼痛 | 风寒引起的不适 | 阳气不足,Symptom,No,20260743
S034,普济消毒饮子,脾胃虚弱、热邪引起的症状、脉弱、脏腑功能失调、咽喉肿结,脾胃虚弱 | 热邪引起的症状 | 脉弱 | 脏腑功能失调 | 咽喉肿结,湿热引起的症状 | 热毒引起的症状 | 出血 | 习惯性流产 | 元气不足 | 脉弱 | 脾胃虚弱 | 肺燥引起的症状 | 心悸不安 | 痰湿引起的症状 | 中焦胀满 | 寒证引起的疼痛 | 气滞引起的不适 | 血热引起的症状 | 阴虚 | 脾虚引起的消化不良 | 痉挛性疼痛 | 热毒引起的肿胀 | 结节 | 肿胀 | 风热引起的症状 | 咽喉疼痛 | 肺热引起的症状 | 咽喉肿结 | 失眠不安 | 疼痛 | 发热 | 肝脏受损 | 免疫力低下 | 炎症 | 病毒感染 | 热邪引起的症状 | 脏腑功能失调 | 阳虚引起的症状 | 痰液过多 | 肺脓肿,Symptom,No,20260744
S035,羌活胜风汤,脾虚引起的消化不良、疼痛、目赤、湿邪引起的症状,脾虚引起的消化不良 | 疼痛 | 目赤 | 湿邪引起的症状,脾虚引起的消化不良 | 湿热引起的症状 | 多汗 | 习惯性流产 | 中焦胀满 | 气滞引起的不适 | 消化不良 | 寒湿引起的疼痛 | 风寒引起的不适 | 疼痛 | 血瘀引起的症状 | 风湿引起的痛症 | 痛经 | 肿胀 | 肺脓肿 | 关节疼痛 | 经络不畅 | 湿邪引起的症状 | 痉挛 | 风热引起的症状 | 气逆引起的咳嗽 | 痰多引起的症状 | 肺热引起的症状 | 咽喉疼痛 | 痰液过多 | 风热引起的头痛 | 目赤 | 皮肤瘙痒 | 出血 | 热毒引起的症状 | 痰湿引起的症状 | 痉挛性疼痛 | 热邪引起的症状 | 肝郁气滞 | 脾胃功能失调 | 阳虚引起的症状 | 热毒引起的出血,Symptom,No,20260745
S036,牛蒡甘桔汤,痉挛性疼痛、咽喉疼痛、热毒引起的症状、肿胀,痉挛性疼痛 | 咽喉疼痛 | 热毒引起的症状 | 肿胀,肿胀 | 疼痛 | 咽喉疼痛 | 肺热引起的症状 | 痰液过多 | 肺脓肿 | 胃气上逆引起的呕吐 | 气滞引起的不适 | 热毒引起的肿胀 | 痰湿引起的症状 | 肿痛 | 湿热引起的症状 | 火毒引起的症状 | 毒素引起的症状 | 血瘀引起的症状 | 风湿引起的痛症 | 热毒引起的症状 | 脾虚引起的消化不良 | 痉挛性疼痛 | 血瘀引起的肿胀,Symptom,No,20260746
S037,泰山磐石散,经络不畅、血虚、气虚引起的乏力,经络不畅 | 血虚 | 气虚引起的乏力,气虚引起的乏力 | 脉弱 | 脾肺功能不足 | 水肿 | 失眠不安 | 表虚自汗 | 血虚 | 月经失调 | 疼痛 | 便秘 | 血虚引起的出血 | 肝肾不足引起的症状 | 经络不畅 | 热毒引起的症状 | 湿热引起的症状 | 出血 | 习惯性流产 | 血瘀引起的症状 | 气滞引起的不适 | 风邪引起的症状 | 关节疼痛 | 肝郁气滞 | 血虚引起的月经失调 | 多汗 | 精血不足 | 阴虚 | 脾虚引起的消化不良 | 湿气重引起的症状 | 痰湿引起的症状 | 痉挛性疼痛 | 腹泻,Symptom,No,20260747
S038,滋阴降火汤,血虚、阳虚引起的症状、疼痛、习惯性流产,血虚 | 阳虚引起的症状 | 疼痛 | 习惯性流产,血虚 | 月经失调 | 疼痛 | 便秘 | 血瘀引起的症状 | 气滞引起的不适 | 风邪引起的症状 | 关节疼痛 | 精血不足 | 阴虚 | 热毒引起的症状 | 湿热引起的症状 | 疮毒 | 肺燥引起的症状 | 燥热引起的症状 | 肝郁气滞 | 血虚引起的月经失调 | 多汗 | 出血 | 习惯性流产 | 发热 | 阳虚引起的症状 | 脾虚引起的消化不良 | 痰湿引起的症状 | 痉挛性疼痛,Symptom,No,20260748
S039,清胃汤,口干舌燥、干燥引起的不适、疼痛、湿痰引起的症状,口干舌燥 | 干燥引起的不适 | 疼痛 | 湿痰引起的症状,火热引起的烦躁 | 热毒引起的症状 | 小便不利 | 气滞引起的不适 | 咳嗽 | 炎症 | 干燥引起的不适 | 口干舌燥 | 湿热引起的症状 | 胃失和降引起的呕吐 | 气机不畅引起的不适· | 湿痰引起的症状 | 热毒引起的肿胀 | 结节 | 血虚 | 月经失调 | 疼痛 | 便秘 | 风寒引起的不适 | 疹痒 | 出血 | 习惯性流产 | 外感风寒 | 风湿引起的痛症 | 痉挛 | 脾胃虚弱 | 痰湿引起的症状 | 痉挛性疼痛,Symptom,No,20260749
S040,解郁汤,元气不足、腹泻、气滞引起的不适、头目不适,元气不足 | 腹泻 | 气滞引起的不适 | 头目不适,元气不足 | 脉弱 | 脾肺虚弱 | 干燥引起的不适 | 心悸不安 | 脾胃虚弱 | 湿气重引起的症状 | 多汗 | 习惯性流产 | 脾胃功能失调 | 血虚 | 月经失调 | 疼痛 | 便秘 | 肝郁气滞 | 血虚引起的月经失调 | 气滞引起的不适 | 腹泻 | 火热引起的烦躁 | 热毒引起的症状 | 小便不利 | 血热引起的症状 | 风热引起的症状 | 头目不适 | 疹出不畅,Symptom,No,20260750
S041,柴葛解肌汤,血热引起的症状、阴虚、湿热引起的症状、脾胃虚弱、痉挛性疼痛,血热引起的症状 | 阴虚 | 湿热引起的症状 | 脾胃虚弱 | 痉挛性疼痛,发热 | 肝气不疏引起的症状 | 阳气下陷引起的症状 | 腹泻 | 气虚 | 津液不足 | 疹出不畅 | 血瘀引起的症状 | 热毒引起的症状 | 血热引起的症状 | 脾胃虚弱 | 痰湿引起的症状 | 痉挛性疼痛 | 湿热引起的症状 | 出血 | 习惯性流产 | 热痰引起的症状 | 气滞引起的不适 | 精血不足 | 阴虚,Symptom,No,20260751
S042,柴胡清肝汤,尿量少、血瘀引起的症状、发热、风邪引起的症状、月经失调,尿量少 | 血瘀引起的症状 | 发热 | 风邪引起的症状 | 月经失调,发热 | 肝气不舒 | 阳气下陷引起的症状 | 精血不足 | 阴虚 | 血虚 | 月经失调 | 疼痛 | 便秘 | 血瘀引起的症状 | 热毒引起的症状 | 血热引起的症状 | 肿胀 | 结节 | 气滞引起的不适 | 风寒引起的不适 | 疹出不畅 | 风邪引起的症状 | 热毒引起的炎症 | 湿热引起的症状 | 出血 | 习惯性流产 | 热火旺盛引起的烦躁 | 尿量少 | 津液不足 | 水肿 | 脾胃虚弱 | 咳嗽 | 痉挛性疼痛 | 外感风寒 | 痉挛,Symptom,No,20260752
